order;cond;age;gender;musicexperience;eyex;eyey;orb-0deg-x;orb-0deg-y;orb-180deg-x;orb-180deg-y;orb-120deg-x;orb-120deg-y;orb-240deg-x;orb-240deg-y;jstimestamp;pythontimestamp;eyetrackertimestamp
B;1i24s-0-trial1;25;male;No;469.52;454.26;777.72;91.62;755.06;641.15;518.13;489.32;993.58;508.49;1668624650867;1668624650869;1668624650804
B;1i24s-0-trial1;25;male;No;471.82;455.58;777.72;91.62;755.06;641.15;518.13;489.32;993.58;508.49;1668624650867;1668624650869;1668624650812
B;1i24s-0-trial1;25;male;No;472.44;456.56;777.72;91.62;755.06;641.15;518.13;489.32;993.58;508.49;1668624650867;1668624650871;1668624650816
B;1i24s-0-trial1;25;male;No;472.28;456.51;789.02;91.76;742.54;639.79;513.11;478.92;986.80;518.25;1668624650872;1668624650871;1668624650820
B;1i24s-0-trial1;25;male;No;472.17;456.44;789.02;91.76;742.54;639.79;513.11;478.92;986.80;518.25;1668624650873;1668624650876;1668624650824
B;1i24s-0-trial1;25;male;No;468.33;455.19;789.02;91.76;742.54;639.79;513.11;478.92;986.80;518.25;1668624650876;1668624650876;1668624650832
B;1i24s-0-trial1;25;male;No;468.46;455.29;811.89;93.73;717.39;635.55;504.51;457.29;971.85;537.24;1668624650908;1668624650907;1668624650836
B;1i24s-0-trial1;25;male;No;468.59;455.35;811.89;93.73;717.39;635.55;504.51;457.29;971.85;537.24;1668624650908;1668624650911;1668624650840
B;1i24s-0-trial1;25;male;No;468.98;454.90;811.89;93.73;717.39;635.55;504.51;457.29;971.85;537.24;1668624650909;1668624650912;1668624650856
B;1i24s-0-trial1;25;male;No;468.21;454.69;811.89;93.73;717.39;635.55;504.51;457.29;971.85;537.24;1668624650910;1668624650914;1668624650860
B;1i24s-0-trial1;25;male;No;467.61;454.76;811.89;93.73;717.39;635.55;504.51;457.29;971.85;537.24;1668624650916;1668624650916;1668624650864
B;1i24s-0-trial1;25;male;No;468.37;455.00;823.03;95.51;705.23;632.75;501.07;446.45;963.98;546.12;1668624650928;1668624650932;1668624650872
B;1i24s-0-trial1;25;male;No;467.53;454.23;823.03;95.51;705.23;632.75;501.07;446.45;963.98;546.12;1668624650928;1668624650932;1668624650876
B;1i24s-0-trial1;25;male;No;467.60;453.78;823.03;95.51;705.23;632.75;501.07;446.45;963.98;546.12;1668624650931;1668624650932;1668624650880
B;1i24s-0-trial1;25;male;No;467.83;454.16;823.03;95.51;705.23;632.75;501.07;446.45;963.98;546.12;1668624650933;1668624650937;1668624650884
B;1i24s-0-trial1;25;male;No;468.06;454.42;834.16;97.84;693.14;629.46;498.14;435.44;955.72;554.74;1668624650937;1668624650937;1668624650892
B;1i24s-0-trial1;25;male;No;468.46;454.69;845.37;100.76;681.02;625.63;495.72;424.13;946.99;563.18;1668624650967;1668624650969;1668624650896
B;1i24s-0-trial1;25;male;No;468.03;454.78;845.37;100.76;681.02;625.63;495.72;424.13;946.99;563.18;1668624650967;1668624650970;1668624650900
B;1i24s-0-trial1;25;male;No;468.09;454.08;856.15;104.12;669.44;621.46;493.89;413.07;938.19;571.04;1668624650970;1668624650970;1668624650912
B;1i24s-0-trial1;25;male;No;467.75;454.21;856.15;104.12;669.44;621.46;493.89;413.07;938.19;571.04;1668624650970;1668624650973;1668624650916
B;1i24s-0-trial1;25;male;No;468.48;454.15;856.15;104.12;669.44;621.46;493.89;413.07;938.19;571.04;1668624650970;1668624650973;1668624650920
B;1i24s-0-trial1;25;male;No;468.47;454.22;856.15;104.12;669.44;621.46;493.89;413.07;938.19;571.04;1668624650973;1668624650976;1668624650924
B;1i24s-0-trial1;25;male;No;468.22;455.63;866.98;108.07;657.85;616.76;492.58;401.74;928.94;578.68;1668624650988;1668624650986;1668624650932
B;1i24s-0-trial1;25;male;No;468.10;456.63;866.98;108.07;657.85;616.76;492.58;401.74;928.94;578.68;1668624650994;1668624650996;1668624650936
B;1i24s-0-trial1;25;male;No;472.14;456.98;866.98;108.07;657.85;616.76;492.58;401.74;928.94;578.68;1668624650994;1668624650996;1668624650940
B;1i24s-0-trial1;25;male;No;471.61;457.25;866.98;108.07;657.85;616.76;492.58;401.74;928.94;578.68;1668624650995;1668624650996;1668624650944
B;1i24s-0-trial1;25;male;No;471.13;457.29;866.98;108.07;657.85;616.76;492.58;401.74;928.94;578.68;1668624650996;1668624650999;1668624650952
