order;cond;age;gender;musicexperience;eyex;eyey;orb-0deg-x;orb-0deg-y;orb-180deg-x;orb-180deg-y;orb-120deg-x;orb-120deg-y;orb-240deg-x;orb-240deg-y;jstimestamp;pythontimestamp;eyetrackertimestamp
A;3i36s-0-trial1;24;male;NO;545.35;732.18;773.88;91.70;759.33;641.50;519.94;492.81;995.80;505.12;1668693695023;1668693695022;1668693694309
A;3i36s-0-trial1;24;male;NO;545.41;732.10;773.88;91.70;759.33;641.50;519.94;492.81;995.80;505.12;1668693695032;1668693695031;1668693694317
A;3i36s-0-trial1;24;male;NO;544.93;731.27;773.88;91.70;759.33;641.50;519.94;492.81;995.80;505.12;1668693695032;1668693695031;1668693694321
A;3i36s-0-trial1;24;male;NO;544.99;731.33;781.56;91.61;750.79;640.75;516.36;485.80;991.32;511.84;1668693695038;1668693695037;1668693694325
A;3i36s-0-trial1;24;male;NO;545.43;730.62;781.56;91.61;750.79;640.75;516.36;485.80;991.32;511.84;1668693695043;1668693695042;1668693694333
A;3i36s-0-trial1;24;male;NO;545.63;730.30;781.56;91.61;750.79;640.75;516.36;485.80;991.32;511.84;1668693695049;1668693695048;1668693694337
A;3i36s-0-trial1;24;male;NO;545.58;729.72;789.05;91.76;742.50;639.79;513.10;478.89;986.78;518.27;1668693695055;1668693695054;1668693694341
A;3i36s-0-trial1;24;male;NO;545.68;729.79;789.05;91.76;742.50;639.79;513.10;478.89;986.78;518.27;1668693695058;1668693695058;1668693694345
A;3i36s-0-trial1;24;male;NO;545.29;729.67;789.05;91.76;742.50;639.79;513.10;478.89;986.78;518.27;1668693695064;1668693695063;1668693694353
A;3i36s-0-trial1;24;male;NO;545.42;728.89;796.57;92.16;734.21;638.62;510.05;471.87;982.04;524.63;1668693695068;1668693695067;1668693694357
A;3i36s-0-trial1;24;male;NO;545.42;728.38;796.57;92.16;734.21;638.62;510.05;471.87;982.04;524.63;1668693695075;1668693695074;1668693694361
A;3i36s-0-trial1;24;male;NO;545.32;728.76;796.57;92.16;734.21;638.62;510.05;471.87;982.04;524.63;1668693695077;1668693695077;1668693694365
A;3i36s-0-trial1;24;male;NO;544.76;729.03;804.23;92.82;725.78;637.19;507.16;464.62;977.04;530.99;1668693695085;1668693695084;1668693694373
A;3i36s-0-trial1;24;male;NO;544.89;729.11;804.23;92.82;725.78;637.19;507.16;464.62;977.04;530.99;1668693695088;1668693695088;1668693694377
A;3i36s-0-trial1;24;male;NO;544.85;728.97;804.23;92.82;725.78;637.19;507.16;464.62;977.04;530.99;1668693695095;1668693695094;1668693694381
A;3i36s-0-trial1;24;male;NO;544.66;729.04;811.71;93.70;717.58;635.59;504.57;457.46;971.98;537.09;1668693695102;1668693695101;1668693694385
A;3i36s-0-trial1;24;male;NO;544.66;729.07;811.71;93.70;717.58;635.59;504.57;457.46;971.98;537.09;1668693695105;1668693695104;1668693694393
A;3i36s-0-trial1;24;male;NO;544.67;729.18;811.71;93.70;717.58;635.59;504.57;457.46;971.98;537.09;1668693695108;1668693695107;1668693694397
A;3i36s-0-trial1;24;male;NO;544.05;729.28;811.71;93.70;717.58;635.59;504.57;457.46;971.98;537.09;1668693695113;1668693695113;1668693694401
A;3i36s-0-trial1;24;male;NO;544.38;729.38;811.71;93.70;717.58;635.59;504.57;457.46;971.98;537.09;1668693695117;1668693695116;1668693694405
A;3i36s-0-trial1;24;male;NO;544.50;729.56;819.19;94.83;709.41;633.77;502.20;450.21;966.74;543.09;1668693695122;1668693695122;1668693694413
A;3i36s-0-trial1;24;male;NO;544.63;729.43;819.19;94.83;709.41;633.77;502.20;450.21;966.74;543.09;1668693695129;1668693695128;1668693694417
A;3i36s-0-trial1;24;male;NO;544.72;728.45;819.19;94.83;709.41;633.77;502.20;450.21;966.74;543.09;1668693695134;1668693695133;1668693694421
A;3i36s-0-trial1;24;male;NO;544.34;728.56;826.69;96.21;701.24;631.72;500.05;442.85;961.31;548.99;1668693695137;1668693695137;1668693694425
